58947 | 3.29 | 50.80 | 168.00
59050 | 3.29 | 50.20 | 164.00
59153 | 3.28 | 70.50 | 232.00
59256 | 3.28 | 72.30 | 232.00
59359 | 3.28 | 70.70 | 232.00
59462 | 3.28 | 71.20 | 232.00
59565 | 3.28 | 71.80 | 236.00
59668 | 3.29 | 70.20 | 230.00
59771 | 3.28 | 70.70 | 232.00
59874 | 3.29 | 70.80 | 236.00
59977 | 3.28 | 70.10 | 230.00
60080 | 3.28 | 71.00 | 232.00
60183 | 3.29 | 70.80 | 232.00
60286 | 3.28 | 70.60 | 232.00
60389 | 3.28 | 70.70 | 232.00
60492 | 3.28 | 70.10 | 230.00
60595 | 3.28 | 72.60 | 240.00
60698 | 3.28 | 70.40 | 232.00
60801 | 3.28 | 70.30 | 230.00
60904 | 3.28 | 72.60 | 240.00
61007 | 3.29 | 70.70 | 232.00
61110 | 3.28 | 70.30 | 230.00
61213 | 3.28 | 71.60 | 236.00
61316 | 3.28 | 71.10 | 230.00
61419 | 3.29 | 70.30 | 230.00
61522 | 3.28 | 71.40 | 236.00
61625 | 3.28 | 71.90 | 230.00
61728 | 3.28 | 70.00 | 230.00
61831 | 3.29 | 70.80 | 232.00
61934 | 3.28 | 71.20 | 236.00
62037 | 3.28 | 70.70 | 232.00
62140 | 3.28 | 71.00 | 232.00
62243 | 3.28 | 71.50 | 236.00
62346 | 3.28 | 70.60 | 232.00
62449 | 3.28 | 70.80 | 232.00
62552 | 3.29 | 70.40 | 232.00
62655 | 3.28 | 70.80 | 232.00
62758 | 3.28 | 70.60 | 232.00
62861 | 3.29 | 71.00 | 232.00
62964 | 3.28 | 71.90 | 236.00
63067 | 3.28 | 69.90 | 230.00
63170 | 3.28 | 69.80 | 230.00
63273 | 3.28 | 72.00 | 236.00
63376 | 3.28 | 70.30 | 230.00
63479 | 3.29 | 71.20 | 232.00
63582 | 3.28 | 71.80 | 236.00
63685 | 3.28 | 70.30 | 230.00
63788 | 3.28 | 70.80 | 232.00
63891 | 3.28 | 70.70 | 232.00
63994 | 3.28 | 72.10 | 236.00
64097 | 3.27 | 126.00 | 412.00
64200 | 3.29 | 50.60 | 168.00
64303 | 3.29 | 51.90 | 170.00
64406 | 3.29 | 50.10 | 164.00
64509 | 3.29 | 50.10 | 164.00
64612 | 3.29 | 50.30 | 164.00
64715 | 3.29 | 50.60 | 168.00
64818 | 3.29 | 50.10 | 164.00
64921 | 3.29 | 51.00 | 168.00
65024 | 3.29 | 51.50 | 170.00
65127 | 3.28 | 70.50 | 484.00
65230 | 3.28 | 149.40 | 488.00
65333 | 3.28 | 141.40 | 498.00
65436 | 3.26 | 147.80 | 482.00
65539 | 3.26 | 148.30 | 484.00
65642 | 3.26 | 148.00 | 484.00
65745 | 3.26 | 147.70 | 482.00
65848 | 3.26 | 143.30 | 468.00
65951 | 3.26 | 148.00 | 482.00
66054 | 3.26 | 145.20 | 476.00
66157 | 3.26 | 143.40 | 468.00
66260 | 3.26 | 142.80 | 232.00
66363 | 3.26 | 147.60 | 482.00
66466 | 3.26 | 108.70 | 358.00
66569 | 3.28 | 71.20 | 232.00
66672 | 3.28 | 71.20 | 232.00
66775 | 3.28 | 70.70 | 232.00
66878 | 3.28 | 70.70 | 232.00
66981 | 3.29 | 71.70 | 236.00
67084 | 3.28 | 72.70 | 232.00
67187 | 3.28 | 70.70 | 232.00
67290 | 3.29 | 71.10 | 232.00
67393 | 3.28 | 71.40 | 240.00
67496 | 3.28 | 70.50 | 232.00
67599 | 3.29 | 71.20 | 232.00
67702 | 3.28 | 71.30 | 240.00
67805 | 3.28 | 71.10 | 232.00
67908 | 3.29 | 71.30 | 232.00
68011 | 3.28 | 70.50 | 232.00
68114 | 3.28 | 71.40 | 236.00
68217 | 3.29 | 70.60 | 232.00
68320 | 3.28 | 71.10 | 236.00
68423 | 3.28 | 74.20 | 242.00
68526 | 3.28 | 71.90 | 236.00
68629 | 3.28 | 71.30 | 236.00
68732 | 3.28 | 72.00 | 236.00
68835 | 3.28 | 70.70 | 232.00
68938 | 3.29 | 70.30 | 236.00
69041 | 3.28 | 72.20 | 236.00
69144 | 3.29 | 70.10 | 232.00
69247 | 3.29 | 70.90 | 232.00
69350 | 3.29 | 70.50 | 232.00
69453 | 3.28 | 70.90 | 230.00
69556 | 3.29 | 70.90 | 232.00
69659 | 3.28 | 71.20 | 232.00
69762 | 3.28 | 72.20 | 232.00
69865 | 3.29 | 70.50 | 232.00
69968 | 3.28 | 70.40 | 232.00
70071 | 3.27 | 126.30 | 416.00
70174 | 3.27 | 126.70 | 416.00
70277 | 3.29 | 50.50 | 168.00
70380 | 3.29 | 51.20 | 170.00
70483 | 3.29 | 50.70 | 168.00
70586 | 3.29 | 50.40 | 168.00
70689 | 3.29 | 50.60 | 168.00
70792 | 3.29 | 52.70 | 174.00
70895 | 3.29 | 50.50 | 164.00
70998 | 3.29 | 51.00 | 168.00
71101 | 3.28 | 71.90 | 236.00
71204 | 3.28 | 70.70 | 232.00
71307 | 3.28 | 70.90 | 232.00
71410 | 3.28 | 70.60 | 232.00
71513 | 3.28 | 71.70 | 232.00
71616 | 3.29 | 71.00 | 232.00
71719 | 3.28 | 70.90 | 232.00
71822 | 3.28 | 72.60 | 236.00
71925 | 3.28 | 71.00 | 232.00
72028 | 3.28 | 70.70 | 232.00
72131 | 3.28 | 71.50 | 240.00
72234 | 3.28 | 71.10 | 232.00
72337 | 3.28 | 70.20 | 232.00
72440 | 3.29 | 71.80 | 240.00
72543 | 3.28 | 70.70 | 232.00
72646 | 3.28 | 70.70 | 232.00
72749 | 3.28 | 71.10 | 232.00
72852 | 3.28 | 71.30 | 232.00
72955 | 3.28 | 70.80 | 232.00
73058 | 3.29 | 79.50 | 262.00
73161 | 3.28 | 72.30 | 236.00
73264 | 3.28 | 70.60 | 232.00
73367 | 3.28 | 71.10 | 232.00
73470 | 3.28 | 71.70 | 236.00
